ID,Combined_Caption
TEST_010,"a dog is looking out a window at a snow covered street in the snow - covered area of a residential neighborhood with no people on the street or in the neighborhood, as it snowed on the ground and trees can be seen from the window in the foreground of the photo of the dog ' s head, and eyes are visible in the snowing scene of an apartment building across the street from the snowing dog is a dark brown and it appears to be a cold, but.  a man is sitting at a table looking out the window at a snow covered park in the winter on a cold day.  a man is sitting at a table looking out the window on a snowy day and has a cup of coffee in his hand as he is looking out at the snow that is falling from the window over his head.  a man is sitting at a table looking out the window on a snowy day at a coffee shop with a cup of coffee in his hand, and a piece of cake on the other side of the table with a white frosting icing on the top of it, as well as a wooden fence and a black railing on the other side of the window is snowing in the area and it is a dark winter day, as the trees outside look overcast with no leaves on the branches.  a man is sitting at a table looking out the window on a snowy day at a coffee shop with a wooden fence in the foregount, and snow falling from the window on the other side of the window as he watches the snowing outside on his feet and his hat is in his cap and a hoodie over his head, and in his hoodie he is resting on his head and a cup of coffee in his left hand is on the table, and there is a white coffee cup on the other."
TEST_011,"a group of people are getting their hair done at a salon with one of the men and women in the foreground, all dressed in black and one woman in a black t - shirt and some blonde hair is cutting the other in a short - haired, red - haired woman with a yellow scarf around her neck and a pair of glasses in her eyeglass ' s are in the foreground of the photo and a sign on the wall says & amp in a red sign above the window that says.  a hair salon has people sitting in chairs getting their hair cut at the same time as they are doing their hair and some of them are looking at the same hairdressers on the other side of the room in the same direction and a sign hanging on the wall that says i love hair stylist and one of the people has a red haircut in his left hand and a black maniing chair is on the right of the other hand holding a blow.  a hair salon has people sitting in chairs getting their hair cut by salon staff at the same time of the day as they are about to go into the salon and have their hair cut to be done for a different type of hair and it is a sunny day.  a salon has people sitting in chairs that are lined up for haircuts on the salon ' s walls and a man with red hair is cutting another man who is sitting in the back of the chair and a woman in the back of the chair with long blonde hair is looking at the camera in the mirror that is hanging on the wall of the salon with pictures of men and women in black shirts and black pants, and haircuts on the walls of the salon ' s walls.  a woman is getting her hair cut at a salon and she is wearing a black hairdress and a black top with a pair of black pants and a black and white tennis shoes, and a black wrist watch is being held by a male hair stylist in the foreground as he cuts another man ' s hair with a blow dryer, and a white and purple shampoo on his head and the other hand of his hair is in the other hand and he is wearing a black and white wrist watch on his left."
TEST_012,"a boy is jumping in the air with his arms wide open on a sunny day in a residential area with a hedge in the foreground, the sun is shining brightly through the clouds and the sky is a bright blue with a lot of puffy white clouds in the upper left corner as well as a few scattered white and green leaves on the lower right of the boy ' s head in mid air and a green belt around the boy ' s waist, and waist.  a girl is jumping in the air with her hair blowing in the wind as she is wearing a striped twirl over her head and blue and white pants with a green stripe on the bottom, and a white and black stripe on the bottom of the t - shirt that she is wearing is white in the sun and the sky is blue with a lot of puffy white clouds in the upper left corner of the image, and a tree in the middle of the image.  a girl is jumping on a trampol in a back yard with a blue tarp on the ground, and the sun is shining through the clouds in the blue sky on a sunny day in the back yard there are trees and bushes in the back of the trampol as well as a house with a white shingled roof on the top of the house, and a brown shingled roof on the upper level in the upper left and upper roof of the house on the far side of the trampol.  a girl is jumping on a trampol in a back yard with her hair blowing in the wind as the sun begins to set behind her on a sunny day in the back yard of a suburban house, which is surrounded by a hedge, and a lot of green trees on the other side of the trampol in the foreground is a tall brick building with a chimney on the right of it and a few trees to the left of the trampol in the back of the trampol on the trampol.  a girl is jumping on a trampol in a back yard with her hair blowing in the wind as the sun goes down on her, she is wearing a striped t - shirt and blue capri pants with white stars on the bottom that are painted on the trampol in the daytime and the sky is blue with a lot of puffy white clouds in the upper left corner of the image of her arms and legs are in the air and her right leg is on the trampol."
TEST_013,"a family gathers around a table to enjoy a meal in the dining room on a sunny day with white tablecloth, glasses, food and a silver bowl on the table as part of what appears to be a thanksgiving meal on the table, with turkey, lemons and cranberrys in the foreground of the photo, and a woman in a blue long sleeved shirt and eyeglasses holds a spoon in her hand and the child is sitting in the middle of the table with two other children looking.  a family of four is sitting at a table with a thanksgiving turkey on the dinner table, and the table is covered in white tablecloth and there is a vase of flowers in the window pane on the far side of the table and a bunch of oranges are sitting on the windowsill in the background, as well as an orange and green leafy plant growing out of the window, which is reflected in the windowsill of the kitchen on a sunny day.  a family of four is sitting at a table with a turkey on the dinner table, and the family is standing next to each other in the kitchen with a little girl looking at the turkey in her hand as she puts gravy on the turkey and there is a pot full of lemon wedged bread, and a glass of water in the foreground of the photo with her hands on the table and a woman in a blue shirt holding a spoon and a glass of lemon and another food.  a family of four is sitting at a table with a turkey on the dinner table, in the background is a white kitchen with light coming through the window on the far side of the room and a woman serving the turkey with a silver pot, and other dishes in her hands is the little girl who is wearing a blue long sleeved shirt and has her hands in her pockets as she pours a saucepan into the turkey and her children are looking at the turkey on.  a family of four is sitting at a table with a white tablecloth in a kitchen, preparing to eat a meal on a sunny day in the middle of the day a woman with long blonde hair is holding a knife in her hand and the other family is wearing blue long sleeve shirts and long pants in the same color as they sit on the kitchen table and look at the turkey that is on the platter with a glass of lemon on it."
TEST_014,"a close up of a cone of ice cream is in the foreground of this image, as if it ' s about to go into a gelato shop or some kind of ice cream shop on a sunny day with a pink and yellow cupcake in the background with a little girl sitting on a pink ice cream cone, and looking at the camera with a happy birthday cake in a pink cupcake on the other side of the cupcake, there is a chalkboard with a picture of a girl and a pink cupcake on it,.  a close up of a cone of ice cream with chocolate icing on the top is held in a yellow waffle cone as if to show the cone is a dark chocolate and white waffle on the tip of the cone, and there is a blurry background of the ice cream and ice cream in the background, and a blurry of the ice cream is on the other side of the cone, and it appears to be an abstract blur.  a person is holding a cone of ice cream in their hand on a sunny day in a mallow with chocolate frosting on the top, and a light blue sign in the background that says taco ' s deli on the wall of the ice cream shop in the foreground and a cupcake shop in the background, as well as an ice cream cone with whipped cream in the fore.  a waffle cone is sticking out of someone ' s hand as they hold an ice cream cone with a white icing on the top in a blurry photo of a multicolored background on the back of a blurry picture, and a blurry image of a person can be seen in the foreground of the photo as if it is about to take a step in the process of making a photo with a cell phone or other objects to the left of the image of a man in the.  two ice cream cones are in a cone with chocolate on top of the cones, and a cream cone with chocolate on the top of it is next to each other on the cone of the ice cream is in the shape of a heart and there are a lot of ice cream on the other side of the cone that ' s in the same color as the ice cream and chocolate in the next to that is the chocolate on the top of the chocolate and white waffles on the top of."
TEST_015,"a building with a black roof is on a hill in a japanese style garden of a japanese style house, surrounded by a stone wall and green shrubbery in the foreground of the photo on a sunny day with a blue flag hanging from the roof and trees with red leaves on the branches of the tree near the building, and a few people walking on the street in the distance, and a building that looks like a traditional japanese style is in the background with shinkyi roofing on the top and.  a building with a wooden door is on a cobblestone street in a japanese style area on a sunny day with trees in the foreground, and a person walking on the sidewalk in the distance with a white t - shirt under his shirt, and black pants in a black jacket and a pair of black pants is standing in front of the building and looking at the camera as he walks up the stairs to the building on his left, there is a brown trash can sitting on the right.  a view of a village in the middle of a mountain range is seen from a bird ' s eye view, looking down at the buildings that are lined with wooden shinchik roofing, and tall pine trees in the foreground are the top of the buildings and the roofs are made of black shinchiramer shinchiramer roofing that has a blue tint on the top and white shinramer roof with a rectangular window at the top of the roof, and there are mountains in the far.  a view of a village is in the foreground, surrounded by a mountain range, with cherry blossoms on the trees in the foreground of the village on a sunny day in the mountains are in the far distance as the sun shines through the trees and a person sits on a bench looking at the buildings that are made of shinchiku - style roofing and a red - roofed building in the foreground is the center of the image and it appears to be a chinese - style building, but not a traditional - style.  a view of a village is surrounded by mountains, trees and other buildings on a sunny day at the same time of the day as sun goes down on the village and it appears to be a spring day in the country with cherry blossoms blooming in the trees and surrounding the buildings and a stone walkway going down to the main entrance of the village, which is lined with wooden shinchiza, and the roof of the building is made of black and white, and the surrounding of."
TEST_016,"a man driving a tractor on a dirt road with mountains in the background of the photo in the foreground, a blue sky can be seen in the background as the sun shines on the horizon and is reflecting off of the front of the tractor ' s headlams in the foreground and the headlights are reflecting off of the front of the tractor, which is a red and yellow stripe and a white t - shirt and black pants are tucked in the front of the tractor.  a tractor is driving down a dirt road that has a patch of grass on the side of it and the wheels are bright yellow in color as it is turning the corner on the road to make it look like a country road.  a tractor is driving down a dirt road that has a yellow line on the front, and a man in the driver ' s seat on the front of the tractor looking at the camera and a mountain in the distance as if it is a beautiful blue sky with no clouds in the sky and a bright sunlit green field of grass on the other side of the road, the grass is trimmed in a light green and there are mountains off in the distance in the distance.  a tractor is driving down a dirt road that is bordered by green grass in a rural area on a sunny day with blue sky in the background.  a tractor is driving down a dirt road that is surrounded by green grass on a sunny day in the middle of a rural area with mountains in the distance."
TEST_017,"a bowl of food is on a table in a blurry light and smoke billows from the top of the bowl, as it is about to be cooked in a hot dog or sausage stew with green onions on top of the hot dog, and a pile of meat that is piled into a white bowl of red broth and some other meat in the bottom of the bowl, on the table is a wooden surface that appears to be made of wood, and the table is a brown color with a.  a bowl of food is on a table in a blurry light and smoke is billowing from the top of the bowl, as if it ' s about to be a hot or cold day or a very cold day and there is a lot of food to the left of the bowl of the bowl that looks like something you can get a lot of fresh or just to eat with the hot food and not look at all that fresh, it is a good looking red hot chili with a hint of cheese on.  a bowl of food is on a table in a light brown wood table with a white bowl of soup in the center, and a green garnish on top of the soup is on the side of the bowl of the soup, as if it ' s about to be mixed with a red broth or tomato sauce and green onions in the sauce there is a thick amount of smoke coming out of the bowl and the food is sitting on top of a wooden table.  a bowl of food is on a table in a white bowl and the bowl is made of wood, which is light brown in color as well as a brown in color on the top of the bowl are green onions in a light brown broth and a green garnish of green on top of the carrots in a creamy sauce that is sitting on top of the red sauce in the bowl as well as the food is in a shallow light.  a bowl of food is on a table in a white bowl and the bowl is made of wood, with a red sauce in the bottom that is a light brown color and there are a lot of food on top of the bowl, as well as green scallions in a tomato sauce and some kind of a little white sauce in the bottom of the bowl on the table is a piece of broccoli and another type of meat that is sitting on top of a brown gravy or tomato sauce,."
TEST_018,"a boy is reaching for a ball that is in mid air with his arms stretched out to hit it, as he dives towards the net on a volleyball court in a school sports team, surrounded by a group of boys in the background looking at the young boys on the court and watching the boys play a game of volleyball with one of the boys wearing red and one white jersey and the number 13 on the jersey, while the other team is wearing blue and white jersey,.  a man is playing tennis on a court that is made of blue and brown court with white lines on the bottom of it in a blurry photo as he dives to hit the ball with his racket on the right hand, and the left leg of the man is in the foreground of the photo with a crowd of people in the back and on the other side of the court looking in the same direction as he prepares to hit the ball in the opposite direction of the man on the court and.  a man is playing volleyball on a blue and pink court in a stadium, with people sitting in the stands watching the game on the far side of the court as part of the team ' s hurler - a - ball match is taking place in the foreground of the photo and the ball is in the air with his hands on the back of the court, reaching for the frisbee that he is about to hit and he is about to hit the ball with his right hand as he dives into.  a man is playing volleyball on a blue and pink court with people watching the game in the back and a yellow and blue ball in the air on the other side of the net in the back is the number 50, and the word ' b ' is painted on the side of the ball as well as a black and white line in the upper right corner of the image, he is wearing a red and white long sleeved shirt with black leggings and white tennis shoes, and a.  a man is playing volleyball on a blue and pink court with people watching the game in the back and a yellow ball in the air on the other side of the net in the back is the number 50, and the word ' b ' is painted on the side of the ball in white on the upper right hand side of the man, he is wearing a red and white jersey with black writing on the front and a pair of black leggings that match the ball with the same team in a."
TEST_019,"a group of people are riding bikes in a gym area, one of the women is wearing a pink shirt and the other is wearing a black short sleeved shirt with a black short skirt around the bottom that is rolled up at the waist as if to show her toned body on the exercise bikes and looking at the camera with a wide open window in the background and a bright light coming from the ceiling in the background,.  a group of people are riding bikes in a gym room with white ceiling and a ceiling that has white light coming from the windows on the far wall, and the woman has dark hair and is wearing a pink t - shirt and black capri pants with headphones hanging from the handle of the bike as she smiles at the camera with a smile on her face in the foreground is a man in a blue shirt and a woman in a blue shirt and black short sleeved t - shirt, and black leggings.  a group of people are riding bikes in a gym with their heads turned to the side, as if they are having a group of people in a spin class in an asian gym or gym on a sunny day with the focus on the spinning bikes is a young asian woman with dark hair and a pink t - shirt and black leggings, is smiling and looking at the camera with a man in a blue shirt and black caprising pants, and headphones in his ears.  a man and woman are smiling as they ride bikes in a gym with other people in the background working out on exercise bikes and spinning their bikes as part of the exercise bike exercise in the gym for a variety of people to work out and do some exercise to keep their energy levels going smoothly and they ' re in the same direction as each other, the man has a balding on his head and is wearing a bright pink t - shirt and black pants as well.  a woman is riding a bike in a gym with another man standing behind her as they work out on their bikes for a cardio - cross exercise at the gym in a bright pink tank top and black leggings are also worn as part of the bodybuilding workout clothes and the arms of the man are bent over and holding the handlebar in the foreground of the photo, with one hand resting on the handle of the other while the other hand is holding a dumbber for the gym."
TEST_020,"a group of men and women are rowing across a body of water with their heads turned to the side of the water, as they are wearing visor ' s that are covering their heads in the shape of a sun and the sun is shining on the top of the head of the boat and there are a number of people in the back of the boat, all of them sitting on the front of the boat and looking at the same person who is on the front of the boat with one arm.  a group of men and women are rowing across a body of water with their heads turned to the side, as they are wearing visors over their heads in the shape of a boat and holding their arms in the air with their hands as they pull the oars in a straight up and down in the opposite direction of the men ' s head is a spray of water from the boat in the air and splashes behind the row of men in the fore.  there are a bunch of people rowing in a boat that is going down the river and the water is a light green color with white splashes on it as it is coming from the boat ' s top and a row of rowers in the back of the boat are wearing white t - shirts and blue and red visor on their heads, one of them is wearing a white visor and the other is wearing a blue and white shirt that says team.  there are a bunch of people rowing on a boat that is in the water and the water is splashing from the boat with water splashing off of it as they go in a single scullt of the boat with one person in the front of the boat looking at the other row of people who are sitting on the boat in the back of the row of the boat, all wearing white t - shirts and black shorts that are also in the same navy and white shirts with the number of.  there are people rowing in a boat that is light yellow in color and black in the middle of the water on a sunny day with waves crashing in the background as they go about their boat, and the crew is wearing white t - shirts and blue shorts on their headscarves and a white visor with a blue headband in the front of the crew and a man in the back of the crew, who is holding a blue and white surfboard in his right hand."
TEST_021,"a sea turtle swims in a pool of kelple in this undexible image, the water is a deep blue with a lot of seaweed growing on the bottom and the bottom of the sea under it as it is floating in the water and its eyes are partially closed to see what appears to be a person in the water looking at the camera with a camera in his hand that is holding a piece of something in his right hand and his left hand under his right arm.  a sea turtle swims in a sea of kelps, which are covered in seaweed on a sunny day with sunlight shining on the water ' s surface.  a sea turtle swims in a sea of kelps, which are covered in seaweed on a sunny day with sunlight shining through the water ' s surface as it floats in the clear blue water.  a sea turtle swims in a sea of kelps, which are covered in seaweed on a sunny day with the sun shining through the water ' s clear blue sky as it is about to go under the seaweed in the foreground and a group of fish swims in the water near the kelps and under the seaweed there are a lot of fish swimming in the water, some of which are looking at the camera with their eyes wide and they are.  a sea turtle swims in a sea of kelps, which are covered in seaweed on a sunny day with water in the foreground as the sun reflects the sea ' s surface and the water is a blue - green color, which gives it a hint of a deep ocean - like color to the sea, and its coral like pattern is an orange and white, as well as a light blue under the sea ' s surface as it is."
TEST_022,"a cup of coffee is on a table in the dark, with steam coming out of the cup as if it ' s a hot beverage or a coffee or hot beverage in a white cup with a brown sugar cookie in the middle of it, and a white cup of espresso coffee in the middle of the cup on the table is a shadow of the coffee in the background, making a light that appears to be reflected on the wood table that is made of a square.  a cup of coffee is on a table in the dark, with steam coming out of the cup as it is being poured with a hot drink and the shadow of the cup is cast on the table, making it appear to be a coffee or espressible to a hot beverage that is sitting on the table as if it ' s about to start a smoke or a cloud of black coffee in the morning.  a cup of coffee is on a table in the dark, with steam coming out of the cup as it is being poured with a hot drink and the shadow of the cup is cast on the table, making it appear to be a dark wood table.  a cup of coffee is on a table in the dark, with steam coming out of the top of it as it pours from the bottom and a spoon rests on the side of the cup, which is white in color with a black spot at the bottom of the cup and a small amount of brown in the middle of the cup, as well as a white handle and the word i love is in the upper right corner of the cup and on the bottom of the cup are two white mugs with.  a cup of coffee is on a table in the sun with steam coming out of the cup as it is warmers from the hot coffee and is sitting on the table next to a window that is partially lit by the sun on the table and there is a shadow cast on the table from the coffee in the cup of which the coffee is being poured with the hot coffee in a saucer of brown coffee."
TEST_023,"a boy is smiling as he prepares to bake some cookies with his hands in the shape of a heart and a glass of water on the kitchen counter in front of him is a woman with her arms around her and she is wearing a blue and white shirt and holding a pair of scissors in her hands as she puts them together on a cookie that is shaped like a heart and the word love is written in curs.  a man and a child are smiling in a kitchen at the same time as they prepare a meal on a cutting board in the foreground is a potted plant with green leaves on the counter in the background, and a window with sunlight streaming in the window on the other side of the wall, reflecting off the back of the kitchen wall in the same direction as the kitchen is on the same day and there is no one in the kitchen, but the father is.  a woman and a boy are baking cookies on a cookie sheet in a kitchen with light coming through the window panes on a sunny day.  a woman and boy are baking cookies in a kitchen at a kitchen counter with a glass of water next to them on a wooden table in the kitchen of a home on a sunny day.  a woman and boy are baking cookies in a kitchen at a kitchen counter with a white tile backsplash on the wall in the background, the boy is wearing a gray long sleeve shirt and has his arms around the woman ' s shoulders as he stands next to a cookie sheet that has been rolled in a baking pan, and a spatula in the air is holding the boy ' s hand and making a cookie, with a glass of milk and a whiske."
