ID,Question_1,Combined_Answer_1,Question_2,Combined_Answer_2,Question_3,Combined_Answer_3,Question_4,Combined_Answer_4,Question_5,Combined_Answer_5,Question_6,Combined_Answer_6
TEST_011,What can you see in the image?,hair salon,What is the image that contains?,"hair, hair stylist, hairdresser",Who is the person in the image?,barber,What does the image contain?,"barber, barber shop, hair, hair salon",Where is the image located?,"barber shop, hair salon, salon, wall",Where does the image appear?,"barber shop, salon"
TEST_012,What can you see in the image?,"boy, shadow, skate, skateboard",What is the image that contains?,"frisbee, jumping, shadow, skate, skateboard",Who is the person in the image?,"boy, child",What does the image contain?,"jumping, shadow, skate, skateboard",Where is the image located?,"backyard, ground, park, pool, skate park",Where does the image appear?,"backyard, in pool, park, skate park"
TEST_013,What can you see in the image?,"family, food, man",What is the image that contains?,family,Who is the person in the image?,"family, man",What does the image contain?,family,Where is the image located?,kitchen,Where does the image appear?,"in kitchen, kitchen"
TEST_014,What can you see in the image?,ice cream,What is the image that contains?,ice cream,Who is the person in the image?,"no one, nobody",What does the image contain?,ice cream,Where is the image located?,"ice cream shop, store, tv",Where does the image appear?,"ice cream shop, in front of window, in store, store"
TEST_015,What can you see in the image?,"building, buildings, mountains",What is the image that contains?,"landscape, scenery, sun",Who is the person in the image?,"man, no one, nobody, photographer",What does the image contain?,"buildings, scenery",Where is the image located?,japan,Where does the image appear?,japan
TEST_016,What can you see in the image?,tractor,What is the image that contains?,tractor,Who is the person in the image?,farmer,What does the image contain?,tractor,Where is the image located?,"countryside, field",Where does the image appear?,"country, countryside, field"
TEST_017,What can you see in the image?,"food, soup",What is the image that contains?,"bowl, carrot, soup",Who is the person in the image?,no one,What does the image contain?,"food, soup",Where is the image located?,"restaurant, table",Where does the image appear?,"bowl, in bowl, table"
TEST_018,What can you see in the image?,"ball, man, net, volleyball, volleyball player",What is the image that contains?,"ball, blur, volleyball",Who is the person in the image?,"man, player",What does the image contain?,"ball, volleyball",Where is the image located?,"beach, court",Where does the image appear?,"beach, court, on court, volleyball court"
TEST_019,What can you see in the image?,"people, people in bike",What is the image that contains?,"exercise, group, people",Who is the person in the image?,"cyclist, group, man, woman",What does the image contain?,"group of people, people",Where is the image located?,"gym, in gym",Where does the image appear?,"gym, in gym"
TEST_020,What can you see in the image?,"men, water",What is the image that contains?,"rowing, water",Who is the person in the image?,"men, rower",What does the image contain?,"rowing, water, water polo",Where is the image located?,water,Where does the image appear?,"lake, ocean, water"
TEST_021,What can you see in the image?,"sea creatures, turtle",What is the image that contains?,"sea, seaweed, turtle",Who is the person in the image?,"diver, no one",What does the image contain?,"sea life, turtle",Where is the image located?,underwater,Where does the image appear?,underwater
TEST_022,What can you see in the image?,"coffee, reflection, shadow, steam",What is the image that contains?,"coffee, smoke, steam",Who is the person in the image?,no one,What does the image contain?,"coffee, smoke, steam",Where is the image located?,"coffee, coffee table, table",Where does the image appear?,"coffee, coffee table, on table"
TEST_023,What can you see in the image?,"boy, cookies, food, girl, mother and daughter, woman",What is the image that contains?,"cookies, father and son, food, mother ' s smile, mother and daughter, toddler",Who is the person in the image?,"boy, man, woman",What does the image contain?,"boy, cookies, food, mother and child",Where is the image located?,kitchen,Where does the image appear?,kitchen
TEST_024,What can you see in the image?,"cell, cell phone, wallet",What is the image that contains?,"calculator, cell phone, wallet",Who is the person in the image?,no one,What does the image contain?,"cell, wallet",Where is the image located?,table,Where does the image appear?,"on table, table"
TEST_025,What can you see in the image?,polar bear,What is the image that contains?,polar bear,Who is the person in the image?,"no one, photographer",What does the image contain?,polar bear,Where is the image located?,"antarctica, glacier",Where does the image appear?,"antarctica, glacier, ice"
TEST_026,What can you see in the image?,"arm, hand, latte",What is the image that contains?,"hand, heart, latte, window",Who is the person in the image?,"barista, man",What does the image contain?,"barista, hot chocolate, latte",Where is the image located?,"coffee, coffee shop, window",Where does the image appear?,"coffee, coffee shop"
TEST_027,What can you see in the image?,surfer,What is the image that contains?,water,Who is the person in the image?,surfer,What does the image contain?,"surfer, water",Where is the image located?,ocean,Where does the image appear?,ocean
TEST_028,What can you see in the image?,"camel, pyramid",What is the image that contains?,pyramid,Who is the person in the image?,"biker, group, tourists",What does the image contain?,"camel, pyramid, pyramids",Where is the image located?,desert,Where does the image appear?,desert
TEST_029,What can you see in the image?,"cars, race, racers",What is the image that contains?,"motorcyclist, motorcyclists, race",Who is the person in the image?,"driver, racers",What does the image contain?,"race, racers",Where is the image located?,racetrack,Where does the image appear?,racetrack
TEST_030,What can you see in the image?,"hand, woman, woman ' s hair",What is the image that contains?,"cleaning, woman, woman ' s face",Who is the person in the image?,"man, woman",What does the image contain?,"cleaning, scrubber, woman",Where is the image located?,"in kitchen, kitchen",Where does the image appear?,"in kitchen, kitchen"
TEST_031,What can you see in the image?,"bathtub, sinks, toilet",What is the image that contains?,"bathroom, bathtub, bowls, toilet",Who is the person in the image?,"no one, nobody, photographer",What does the image contain?,"bathroom, bathtub, bowls, toilet",Where is the image located?,bathroom,Where does the image appear?,bathroom
TEST_032,What can you see in the image?,train,What is the image that contains?,"blur, train",Who is the person in the image?,"conductor, no one, nobody",What does the image contain?,train,Where is the image located?,"countryside, field, train tracks",Where does the image appear?,"countryside, field, train tracks"
TEST_033,What can you see in the image?,food,What is the image that contains?,food,Who is the person in the image?,"chef, no one, waiter",What does the image contain?,food,Where is the image located?,"kitchen, restaurant, table",Where does the image appear?,"kitchen, restaurant"
TEST_034,What can you see in the image?,"child, little girl",What is the image that contains?,"baby, toddler",Who is the person in the image?,"child, toddler",What does the image contain?,"child, child playing, child riding bike, toddler",Where is the image located?,park,Where does the image appear?,"garden, in park, park"
TEST_035,What can you see in the image?,laptop,What is the image that contains?,laptop,Who is the person in the image?,no one,What does the image contain?,laptop,Where is the image located?,"desk, office, table, window",Where does the image appear?,"desk, in office, office, window"
TEST_036,What can you see in the image?,"girl, stack of books, woman",What is the image that contains?,"hair, homework, window, writing",Who is the person in the image?,"girl, woman",What does the image contain?,"food, homework, writing",Where is the image located?,"classroom, in room, table, window",Where does the image appear?,"classroom, desk, in office, in room, kitchen, window"
TEST_037,What can you see in the image?,"baseball, baseball players, grass",What is the image that contains?,baseball,Who is the person in the image?,"baseball player, baseball players",What does the image contain?,baseball,Where is the image located?,"baseball field, field",Where does the image appear?,baseball field
TEST_038,What can you see in the image?,"chair, coffee maker, table, window",What is the image that contains?,"shadow, tabletop, window",Who is the person in the image?,no one,What does the image contain?,"coffee table, part of window, shadow, window",Where is the image located?,"dining, in room, kitchen, living room, table, window",Where does the image appear?,"coffee shop, dining, in room, kitchen, living room"
TEST_039,What can you see in the image?,"man, people, woman",What is the image that contains?,"blur, hair, head, portrait, profile",Who is the person in the image?,"man, woman",What does the image contain?,"man, people, person, woman",Where is the image located?,living room,Where does the image appear?,"in living room, living room"
TEST_040,What can you see in the image?,"children, group, pumpkin",What is the image that contains?,"group, jack o lantern, pumpkin",Who is the person in the image?,children,What does the image contain?,"group, people, pumpkin",Where is the image located?,"parade, park, street",Where does the image appear?,"halloween, in park, street"
TEST_041,What can you see in the image?,"girl, stack of books, woman",What is the image that contains?,"hair, homework, window, writing",Who is the person in the image?,"girl, woman",What does the image contain?,"food, homework, writing",Where is the image located?,"classroom, in room, table, window",Where does the image appear?,"classroom, desk, in office, in room, kitchen, window"
TEST_042,What can you see in the image?,"buildings, people",What is the image that contains?,"balloons, people, people walking, rain, street",Who is the person in the image?,pedestrians,What does the image contain?,"balloons, rain, umbrella",Where is the image located?,"alley, china, city, street",Where does the image appear?,"alley, china, city"
TEST_043,What can you see in the image?,"sail, sailboat",What is the image that contains?,"sail, sailboat",Who is the person in the image?,"no one, nobody",What does the image contain?,sailboat,Where is the image located?,ocean,Where does the image appear?,ocean
TEST_044,What can you see in the image?,"rows of bottles, shelves",What is the image that contains?,"books, shelves, wine",Who is the person in the image?,"bartender, man, no one",What does the image contain?,"shelves, wine",Where is the image located?,"library, store",Where does the image appear?,"cellar, in bar, in library, library"
TEST_045,What can you see in the image?,"hair, hairdresser, mannequin",What is the image that contains?,"clothing, hair, mannequin",Who is the person in the image?,"group, hair stylist, hairdresser, mannequin, woman",What does the image contain?,"clothes, group, hair, hairdresser, mannequin",Where is the image located?,"art gallery, hair salon, in front of people, in room, near mannequin",Where does the image appear?,"art exhibit, hair salon, in store, in studio, party, salon"
TEST_046,What can you see in the image?,buildings,What is the image that contains?,"church, sunset, town",Who is the person in the image?,"photographer, skier",What does the image contain?,"buildings, sunset",Where is the image located?,"beach, near water, ocean, on cliff, town, village",Where does the image appear?,"near beach, ocean, on cliff, town, village"
TEST_047,What can you see in the image?,cats,What is the image that contains?,"cat, cats",Who is the person in the image?,"no one, nobody",What does the image contain?,cats,Where is the image located?,"field, yard",Where does the image appear?,yard
TEST_048,What can you see in the image?,"bird, flowers, macaw",What is the image that contains?,"flowers, parrot",Who is the person in the image?,no one,What does the image contain?,"bird, flowers, parrot",Where is the image located?,"forest, jungle",Where does the image appear?,jungle
TEST_049,What can you see in the image?,"man, skateboard",What is the image that contains?,"log, number, skate",Who is the person in the image?,"athlete, runner, skateboarder, skater",What does the image contain?,"athlete, number, skateboard, skateboarder",Where is the image located?,"in woods, race, race track, skate park",Where does the image appear?,"log, race, skate park"
TEST_050,What can you see in the image?,"basketball, man, wheelchair",What is the image that contains?,"ball, basketball, wheelchair",Who is the person in the image?,"athlete, basketball player, man, wheelchair, wheelchair man",What does the image contain?,"basketball, players, wheelchair",Where is the image located?,"court, gym, gymnasium, wheelchair",Where does the image appear?,"basketball court, gymnasium, wheelchair court"
TEST_051,What can you see in the image?,"clothes, clothing",What is the image that contains?,clothing,Who is the person in the image?,"two women, woman, women",What does the image contain?,clothing,Where is the image located?,"clothing store, store",Where does the image appear?,clothing store
TEST_052,What can you see in the image?,"couple, painting, paintings, woman",What is the image that contains?,"laptop, painting, picture",Who is the person in the image?,"man, man and woman, woman",What does the image contain?,"beach, painting, paintings, picture",Where is the image located?,beach,Where does the image appear?,beach
TEST_053,What can you see in the image?,"hair, hairdresser, mannequin",What is the image that contains?,"clothing, hair, mannequin",Who is the person in the image?,"group, hair stylist, hairdresser, mannequin, woman",What does the image contain?,"clothes, group, hair, hairdresser, mannequin",Where is the image located?,"art gallery, hair salon, in front of people, in room, near mannequin",Where does the image appear?,"art exhibit, hair salon, in store, in studio, party, salon"
TEST_054,What can you see in the image?,"beach, crowd, people, vendors",What is the image that contains?,"crowd, market, parade, shadow",Who is the person in the image?,"dancer, man, men, native, people, woman",What does the image contain?,"beach, crowd, parade, people",Where is the image located?,"africa, beach",Where does the image appear?,"beach, market"
TEST_055,What can you see in the image?,"bride, bride and groom",What is the image that contains?,"bride, wedding",Who is the person in the image?,bride,What does the image contain?,"bride, flowers, wedding",Where is the image located?,wedding,Where does the image appear?,"at wedding, wedding"
TEST_056,What can you see in the image?,dog,What is the image that contains?,"dog, snow",Who is the person in the image?,"no one, nobody",What does the image contain?,dog,Where is the image located?,"field, ground, woods",Where does the image appear?,"in snow, in woods"
TEST_057,What can you see in the image?,"girl, ice, ice skating, woman",What is the image that contains?,"audience, ballet, ice",Who is the person in the image?,"performer, skater",What does the image contain?,"ballet, girl, ice, ice skating",Where is the image located?,"arena, circus, ice, ice rink",Where does the image appear?,"arena, circus, ice rink"
TEST_058,What can you see in the image?,"birthday, man, woman",What is the image that contains?,"balloons, birthday",Who is the person in the image?,"man, man and woman, woman",What does the image contain?,"balloons, birthday",Where is the image located?,kitchen,Where does the image appear?,"birthday party, kitchen"
TEST_059,What can you see in the image?,"food, spoon",What is the image that contains?,"bowl, soup",Who is the person in the image?,no one,What does the image contain?,"food, soup",Where is the image located?,"bowl, on table, table",Where does the image appear?,"bowl, in bowl, table"
TEST_060,What can you see in the image?,man,What is the image that contains?,"cockpit, engine, jet, pilot, space shuttle",Who is the person in the image?,pilot,What does the image contain?,"jet, man, pilot",Where is the image located?,"cockpit, hangar, in hangar, in hanger, space, wall",Where does the image appear?,"in cockpit, in hangar, jet, space"
TEST_061,What can you see in the image?,"bread, corn, croissants, pastries",What is the image that contains?,"bread, croissants, hot dogs",Who is the person in the image?,"baker, no one, nobody",What does the image contain?,"bread, croissants, food, pastries",Where is the image located?,"bakery, food, near bread, near spoon",Where does the image appear?,"bakery, in oven, near bread, near food, near pastries"
TEST_062,What can you see in the image?,flamingo,What is the image that contains?,flamingo,Who is the person in the image?,nobody,What does the image contain?,flamingo,Where is the image located?,lake,Where does the image appear?,lake
TEST_063,What can you see in the image?,"hills, mountain, path, train",What is the image that contains?,"cliff, landscape, mountain",Who is the person in the image?,"no one, photographer",What does the image contain?,"hills, landscape, mountain",Where is the image located?,"countryside, hillside, mountains, valley",Where does the image appear?,"countryside, mountain, valley"
TEST_064,What can you see in the image?,cat,What is the image that contains?,"cat, window",Who is the person in the image?,"no one, nobody",What does the image contain?,cat,Where is the image located?,window,Where does the image appear?,window
TEST_065,What can you see in the image?,"buildings, people",What is the image that contains?,"balloons, people, people walking, rain, street",Who is the person in the image?,pedestrians,What does the image contain?,"balloons, rain, umbrella",Where is the image located?,"alley, china, city, street",Where does the image appear?,"alley, china, city"
TEST_066,What can you see in the image?,"cheese, glasses, wine",What is the image that contains?,"cheese, wine",Who is the person in the image?,"man, no one",What does the image contain?,"cheese, wine",Where is the image located?,"restaurant, table",Where does the image appear?,"dining room, restaurant"
TEST_067,What can you see in the image?,"man, pool, truck, water",What is the image that contains?,"pool, sun",Who is the person in the image?,"man, photographer, surfer",What does the image contain?,"man, pool, sun",Where is the image located?,"beach, near pool, pool, sky",Where does the image appear?,"beach, ocean, pool"
TEST_068,What can you see in the image?,crowd,What is the image that contains?,crowd,Who is the person in the image?,"crowd, group of people, photographer, soldiers",What does the image contain?,"crowd, soldiers",Where is the image located?,"buckingham palace, in courtyard, parade, square, stadium",Where does the image appear?,"buckingham palace, in courtyard, parade, stadium"
TEST_069,What can you see in the image?,"building, buildings, people, school, students",What is the image that contains?,"field, group, group of people, people, school",Who is the person in the image?,students,What does the image contain?,"people, school, students",Where is the image located?,park,Where does the image appear?,"field, in park, park"
TEST_070,What can you see in the image?,"child, little girl",What is the image that contains?,"baby, toddler",Who is the person in the image?,"child, toddler",What does the image contain?,"child, child playing, child riding bike, toddler",Where is the image located?,park,Where does the image appear?,"garden, in park, park"
TEST_071,What can you see in the image?,"buoys, fishing boats, fishing net, fishing nets, man",What is the image that contains?,"fishing, fishing net, ropes",Who is the person in the image?,"fisherman, man",What does the image contain?,"fishing equipment, fishing nets, lobster",Where is the image located?,"dock, harbor, water",Where does the image appear?,"boat, harbor"
TEST_072,What can you see in the image?,city,What is the image that contains?,city,Who is the person in the image?,man,What does the image contain?,city,Where is the image located?,city,Where does the image appear?,city
TEST_073,What can you see in the image?,"frisbee, man, man ' s legs, man ' s shadow",What is the image that contains?,"ball, hands, man, stadium",Who is the person in the image?,"athlete, man, runner",What does the image contain?,"athlete, ball, frisbee, man, man ' s legs, man ' s shadow, tennis",Where is the image located?,"court, field, stadium, tennis court, track",Where does the image appear?,"stadium, tennis court"
TEST_074,What can you see in the image?,"birds, flock of birds",What is the image that contains?,"birds, flock of birds",Who is the person in the image?,"farmer, no one",What does the image contain?,birds,Where is the image located?,field,Where does the image appear?,field
TEST_075,What can you see in the image?,helicopter,What is the image that contains?,helicopter,Who is the person in the image?,pilot,What does the image contain?,helicopter,Where is the image located?,"field, sky",Where does the image appear?,"field, in sky, sky"
TEST_076,What can you see in the image?,eiffel tower,What is the image that contains?,eiffel tower,Who is the person in the image?,"nobody, photographer",What does the image contain?,eiffel tower,Where is the image located?,paris,Where does the image appear?,paris
TEST_077,What can you see in the image?,cats,What is the image that contains?,"cat, cats",Who is the person in the image?,"no one, nobody",What does the image contain?,cats,Where is the image located?,"field, yard",Where does the image appear?,yard
TEST_078,What can you see in the image?,"airplane, plane",What is the image that contains?,"clouds, plane, wing",Who is the person in the image?,"no one, pilot",What does the image contain?,"clouds, plane",Where is the image located?,"in sky, sky",Where does the image appear?,"in sky, sky"
TEST_079,What can you see in the image?,"boy, cookies, food, girl, mother and daughter, woman",What is the image that contains?,"cookies, father and son, food, mother ' s smile, mother and daughter, toddler",Who is the person in the image?,"boy, man, woman",What does the image contain?,"boy, cookies, food, mother and child",Where is the image located?,kitchen,Where does the image appear?,kitchen
TEST_080,What can you see in the image?,"canoe, kayak, man, man paddling, trees",What is the image that contains?,kayak,Who is the person in the image?,"kayaker, man",What does the image contain?,"kayak, paddle",Where is the image located?,"lake, water",Where does the image appear?,lake
TEST_081,What can you see in the image?,"boy, man, people, woman",What is the image that contains?,"ball, rock, water slide",Who is the person in the image?,"boy, woman",What does the image contain?,"climbing, climbing rocks, rock, skateboard",Where is the image located?,"indoor climbing, indoors, wall",Where does the image appear?,"in climbing wall, in room, indoor climbing, indoor climbing facility, indoor climbing wall, indoor playground"
TEST_082,What can you see in the image?,"boy, shadow, skate, skateboard",What is the image that contains?,"frisbee, jumping, shadow, skate, skateboard",Who is the person in the image?,"boy, child",What does the image contain?,"jumping, shadow, skate, skateboard",Where is the image located?,"backyard, ground, park, pool, skate park",Where does the image appear?,"backyard, in pool, park, skate park"
TEST_083,What can you see in the image?,"birds, flock of birds",What is the image that contains?,"birds, flock of birds",Who is the person in the image?,"farmer, no one",What does the image contain?,birds,Where is the image located?,field,Where does the image appear?,field
TEST_084,What can you see in the image?,family,What is the image that contains?,family,Who is the person in the image?,family,What does the image contain?,family,Where is the image located?,"living room, wall",Where does the image appear?,"in living room, living room"
TEST_085,What can you see in the image?,"city, sun",What is the image that contains?,"setting, sun",Who is the person in the image?,"bicyclist, cyclist, photographer, surfer",What does the image contain?,"setting, sun",Where is the image located?,"beach, lake, park",Where does the image appear?,"lake, ocean, park"
TEST_086,What can you see in the image?,trees,What is the image that contains?,"galaxy, trees",Who is the person in the image?,"no one, nobody, photographer",What does the image contain?,"sky, stars, trees",Where is the image located?,"field, forest",Where does the image appear?,"forest, in forest, under clouds"
TEST_087,What can you see in the image?,parasail,What is the image that contains?,"parachute, parasail",Who is the person in the image?,"man, windsurfer",What does the image contain?,"parachute, parasail",Where is the image located?,"beach, sky",Where does the image appear?,"beach, sky"
TEST_088,What can you see in the image?,"girl, ice, ice skating, woman",What is the image that contains?,"audience, ballet, ice",Who is the person in the image?,"performer, skater",What does the image contain?,"ballet, girl, ice, ice skating",Where is the image located?,"arena, circus, ice, ice rink",Where does the image appear?,"arena, circus, ice rink"
TEST_089,What can you see in the image?,"cars, houses, tree",What is the image that contains?,"street, tree",Who is the person in the image?,"no one, nobody",What does the image contain?,"neighborhood, street, trees",Where is the image located?,street,Where does the image appear?,street
TEST_090,What can you see in the image?,cat,What is the image that contains?,"cat, window",Who is the person in the image?,"no one, nobody",What does the image contain?,cat,Where is the image located?,window,Where does the image appear?,window
TEST_091,What can you see in the image?,"art, people, statues",What is the image that contains?,"art, bust, group, group of people, statue",Who is the person in the image?,"group, group of people, man, students",What does the image contain?,"art, statues",Where is the image located?,museum,Where does the image appear?,museum
TEST_092,What can you see in the image?,"girl, water",What is the image that contains?,"playground, pool, splash, water",Who is the person in the image?,girl,What does the image contain?,"playground, slide, water",Where is the image located?,"playground, pool, water",Where does the image appear?,"playground, pool, water"
TEST_093,What can you see in the image?,"building, buildings, people, school, students",What is the image that contains?,"field, group, group of people, people, school",Who is the person in the image?,students,What does the image contain?,"people, school, students",Where is the image located?,park,Where does the image appear?,"field, in park, park"
TEST_094,What can you see in the image?,"frisbee, people, people playing frisbee, people playing in sand",What is the image that contains?,"beach, frisbee, sand",Who is the person in the image?,family,What does the image contain?,"beach, frisbee, people",Where is the image located?,beach,Where does the image appear?,beach
TEST_095,What can you see in the image?,chalkboard,What is the image that contains?,"chalk, chalkboard, classroom, map",Who is the person in the image?,teacher,What does the image contain?,"chalkboard, chart, children, classroom, map",Where is the image located?,"chalkboard, classroom",Where does the image appear?,classroom
TEST_096,What can you see in the image?,"man, skateboard",What is the image that contains?,"log, number, skate",Who is the person in the image?,"athlete, runner, skateboarder, skater",What does the image contain?,"athlete, number, skateboard, skateboarder",Where is the image located?,"in woods, race, race track, skate park",Where does the image appear?,"log, race, skate park"
TEST_097,What can you see in the image?,"gazelle, giraffe",What is the image that contains?,"antelope, gazelle",Who is the person in the image?,"no one, nobody",What does the image contain?,"antelope, deer",Where is the image located?,forest,Where does the image appear?,forest
TEST_098,What can you see in the image?,horse,What is the image that contains?,horse,Who is the person in the image?,jockey,What does the image contain?,horse,Where is the image located?,racetrack,Where does the image appear?,racetrack
TEST_099,What can you see in the image?,"seagull, turtle",What is the image that contains?,turtle,Who is the person in the image?,diver,What does the image contain?,turtle,Where is the image located?,underwater,Where does the image appear?,underwater
TEST_100,What can you see in the image?,ice cream,What is the image that contains?,ice cream,Who is the person in the image?,"no one, nobody",What does the image contain?,ice cream,Where is the image located?,"ice cream shop, store, tv",Where does the image appear?,"ice cream shop, in front of window, in store, store"
TEST_101,What can you see in the image?,"grill, knife",What is the image that contains?,"fire, grill",Who is the person in the image?,"chef, no one, nobody",What does the image contain?,"bbq, fire, flames",Where is the image located?,"background, grill, in grill, in woods",Where does the image appear?,"grill, in grill, in woods"
TEST_102,What can you see in the image?,"food, noodles",What is the image that contains?,"bowl, food, noodles",Who is the person in the image?,no one,What does the image contain?,"food, noodles",Where is the image located?,table,Where does the image appear?,"bowl, table"
TEST_103,What can you see in the image?,"dolphins, group of dolphins",What is the image that contains?,"coral, dolphins, group of dolphins",Who is the person in the image?,diver,What does the image contain?,"dolphins, group of dolphins",Where is the image located?,underwater,Where does the image appear?,underwater
TEST_104,What can you see in the image?,"barista, man, man ' s face, man ' s hand, shelves",What is the image that contains?,"barista, blender, food",Who is the person in the image?,"barista, chef",What does the image contain?,"barista, man, man ' s face",Where is the image located?,"coffee, in kitchen, kitchen",Where does the image appear?,"in kitchen, kitchen"
TEST_105,What can you see in the image?,"man, woman",What is the image that contains?,ice,Who is the person in the image?,skater,What does the image contain?,ice,Where is the image located?,"ice, ice rink",Where does the image appear?,"ice, ice rink"
TEST_106,What can you see in the image?,"horses, tents",What is the image that contains?,"horses, kite, landscape, mountains",Who is the person in the image?,"children, man, riders",What does the image contain?,"horses, kite, mountains",Where is the image located?,"field, mountains",Where does the image appear?,"field, mountains"
TEST_107,What can you see in the image?,"hair dryer, mirror, reflection",What is the image that contains?,"hair, hair dryer, mirror",Who is the person in the image?,no one,What does the image contain?,"hair, makeup, reflection, table, vanity",Where is the image located?,"bathroom, bedroom",Where does the image appear?,"bathroom, bedroom, in bedroom"
TEST_108,What can you see in the image?,laptop,What is the image that contains?,laptop,Who is the person in the image?,no one,What does the image contain?,laptop,Where is the image located?,"desk, office, table, window",Where does the image appear?,"desk, in office, office, window"
TEST_109,What can you see in the image?,"person, snow, tree, windows",What is the image that contains?,"person, snow, window",Who is the person in the image?,"man, no one, woman",What does the image contain?,"person, snow",Where is the image located?,"outside, restaurant, window",Where does the image appear?,"in living room, in restaurant, near window, outside window, restaurant, window"
TEST_110,What can you see in the image?,"bed, cat, lamp, pillows",What is the image that contains?,"bed, lamp, sun",Who is the person in the image?,no one,What does the image contain?,"cat, lamp, pillows, room",Where is the image located?,"bedroom, living room",Where does the image appear?,"bedroom, living room"
TEST_111,What can you see in the image?,"people, windows",What is the image that contains?,"people, room, tea",Who is the person in the image?,"family, man, men, students",What does the image contain?,"people, tea",Where is the image located?,"living room, room",Where does the image appear?,"dining room, in room, living room"
TEST_112,What can you see in the image?,"bowls, food",What is the image that contains?,"bowls, food",Who is the person in the image?,no one,What does the image contain?,food,Where is the image located?,table,Where does the image appear?,table
TEST_113,What can you see in the image?,"laptop, person, picture, woman",What is the image that contains?,"computer, laptop, light, person, website, woman",Who is the person in the image?,"man, no one, woman",What does the image contain?,"laptop, office, person, woman",Where is the image located?,"computer, living room, office, wall",Where does the image appear?,"living room, office"
TEST_114,What can you see in the image?,"group of men, man",What is the image that contains?,"blue, cargo, construction, group of men",Who is the person in the image?,"conductor, man, policeman",What does the image contain?,"blue, cargo, construction, group of men, man, sea",Where is the image located?,"dock, harbor, train yard",Where does the image appear?,"dock, shipyard, train yard"
TEST_115,What can you see in the image?,"building, buildings, mountains",What is the image that contains?,"landscape, scenery, sun",Who is the person in the image?,"man, no one, nobody, photographer",What does the image contain?,"buildings, scenery",Where is the image located?,japan,Where does the image appear?,japan
TEST_116,What can you see in the image?,"man, skateboard",What is the image that contains?,"log, number, skate",Who is the person in the image?,"athlete, runner, skateboarder, skater",What does the image contain?,"athlete, number, skateboard, skateboarder",Where is the image located?,"in woods, race, race track, skate park",Where does the image appear?,"log, race, skate park"
